2023-03-22 09:11:07.278 [getRedisMessageListenerContainer-6] INFO  com.wang.web.listener.RedisKeyExpirationListener - 失效的Key是:ReconcKey:refundBill:businessTypeList
2023-03-22 09:11:07.592 [getRedisMessageListenerContainer-13] INFO  com.wang.web.listener.RedisKeyExpirationListener - 失效的Key是:ReconcKey:zfbBill:businessTypeList
2023-03-22 09:11:07.593 [getRedisMessageListenerContainer-9] INFO  com.wang.web.listener.RedisKeyExpirationListener - 失效的Key是:ReconcKey:hisBill:businessTypeList
2023-03-22 09:11:07.593 [getRedisMessageListenerContainer-8] INFO  com.wang.web.listener.RedisKeyExpirationListener - 失效的Key是:ReconcKey:zfbBill:payTypeList
2023-03-22 09:11:07.594 [getRedisMessageListenerContainer-5] INFO  com.wang.web.listener.RedisKeyExpirationListener - 失效的Key是:ReconcKey:zfbBill:serviceChannelList
2023-03-22 09:11:07.594 [getRedisMessageListenerContainer-4] INFO  com.wang.web.listener.RedisKeyExpirationListener - 失效的Key是:ReconcKey:refundBill:serviceChannelList
2023-03-22 09:11:07.594 [getRedisMessageListenerContainer-11] INFO  com.wang.web.listener.RedisKeyExpirationListener - 失效的Key是:ReconcKey:hisBill:serviceChannelList
2023-03-22 09:11:07.593 [getRedisMessageListenerContainer-12] INFO  com.wang.web.listener.RedisKeyExpirationListener - 失效的Key是:ReconcKey:hisBill:payTypeList
2023-03-22 09:11:07.594 [getRedisMessageListenerContainer-10] INFO  com.wang.web.listener.RedisKeyExpirationListener - 失效的Key是:ReconcKey:refundBill:tollCollectorList
2023-03-22 09:11:07.594 [getRedisMessageListenerContainer-7] INFO  com.wang.web.listener.RedisKeyExpirationListener - 失效的Key是:ReconcKey:refundBill:payTypeList
2023-03-22 09:11:08.586 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@4548bfc7: tags=[[amq.ctag-zQFteM8pEm3ytB0afgXj8w]], channel=Cached Rabbit Channel: PublisherCallbackChannelImpl: AMQChannel(amqp://guest@127.0.0.1:5672/,1), conn: Proxy@682fc714 Shared Rabbit Connection: SimpleConnection@268ee31d [delegate=amqp://guest@127.0.0.1:5672/, localPort= 62230], acknowledgeMode=MANUAL local queue size=0
2023-03-22 09:11:09.319 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [127.0.0.1:5672]
